"filename", "language", "JavaScript", "JavaScript React", "CSS", "Properties", "Markdown", "JSON", "pyscript", "comment", "blank", "total"
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\package-lock.json", "JSON", 0, 0, 0, 0, 0, 32622, 0, 0, 1, 32623
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\package.json", "JSON", 0, 0, 0, 0, 0, 73, 0, 0, 1, 74
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\public\index.html", "pyscript", 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\details.md", "Markdown", 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.VSCodeCounter\2022-08-23_18-55-41\results.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\.env", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\Expenses.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretaker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 137, 20, 157
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretakerCompliment.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 20, 152
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\caretakercomment.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 21, 153
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\complain.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 21, 153
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\milestone.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 2, 20, 157
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tenant.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tenantNotice.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\tour.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 2, 21, 148
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\user.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 18, 85
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\controllers\vacation.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 2, 20, 152
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\index.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 17, 12, 87
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\middleware\admin.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 5, 39
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\middleware\auth.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\Expenses.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\caretakerComment.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 9, 36
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\caretakervacationNotice.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 8, 36
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\complains.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 8, 35
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\milestone.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 25, 14, 64
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\tenant.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\tenatNotice.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\tour.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\user.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\models\vacation.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 8, 36
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4244, 0, 0, 1, 4245
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\package.json", "JSON", 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\admin.js", "JavaScript", 814, 0, 0, 0, 0, 0, 0, 125, 258, 1197
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\all.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\caretaker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 26, 5, 31
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\caretakerComment.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\caretakerVacation.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 12, 48
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\complain.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\expenses.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 12, 33
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\match.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 9, 14, 75
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\matchVacation.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 9, 14, 75
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\milestone.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\services.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 57, 62, 413
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\specificComplain.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 57, 62, 414
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\specificVacations.js", "JavaScript", 296, 0, 0, 0, 0, 0, 0, 57, 62, 415
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\tenant.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 10, 31
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\tenantNotice.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 12, 33
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\tour.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\user.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\server\routes\vacation.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\sockets\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 9, 34
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\sockets\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2696, 0, 0, 1, 2697
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\sockets\package.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\.env", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\App.js", "JavaScript", 278, 0, 0, 0, 0, 0, 0, 1, 18, 297
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\api.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\DisqusThread.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 45, 9, 54
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\Footer.jsx", "JavaScript React", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\Header.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 14, 22, 123
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\LoadingToRedirect.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 19, 4, 23
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\PrivateRoute.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\PrivateRoute.jsx", "JavaScript React", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\Projects.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\Redirect.jsx", "JavaScript React", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\Spinner.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\components\Spinner.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\index.css", "CSS", 0, 0, 720, 0, 0, 0, 0, 54, 59, 833
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Admin.jsx", "JavaScript React", 0, 82, 0, 0, 0, 0, 0, 0, 8, 90
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\AdminAll.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 119, 27, 146
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\AdminCaretaker.jsx", "JavaScript React", 0, 85, 0, 0, 0, 0, 0, 10, 23, 118
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\AdminDefault.jsx", "JavaScript React", 0, 62, 0, 0, 0, 0, 0, 2, 9, 73
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\AdminSidebar.jsx", "JavaScript React", 0, 308, 0, 0, 0, 0, 0, 15, 94, 417
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\AdminTenants.jsx", "JavaScript React", 0, 60, 0, 0, 0, 0, 0, 61, 21, 142
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\AdminTotalRent.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 0, 4, 17, 87
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\All.jsx", "JavaScript React", 0, 269, 0, 0, 0, 0, 0, 15, 91, 375
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\ApartmentA.jsx", "JavaScript React", 0, 45, 0, 0, 0, 0, 0, 6, 10, 61
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\ApartmentB.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\ApartmentC.jsx", "JavaScript React", 0, 46, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\CareTakerComplain.jsx", "JavaScript React", 0, 57, 0, 0, 0, 0, 0, 17, 21, 95
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\CareTakerVacation.jsx", "JavaScript React", 0, 68, 0, 0, 0, 0, 0, 16, 25, 109
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\CaretakeMainPage.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 0, 15, 22, 103
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Caretaker.jsx", "JavaScript React", 0, 82, 0, 0, 0, 0, 0, 4, 26, 112
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\CaretakerPogress.jsx", "JavaScript React", 0, 48, 0, 0, 0, 0, 0, 0, 14, 62
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Charts.jsx", "JavaScript React", 0, 109, 0, 0, 0, 0, 0, 0, 20, 129
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complain.jsx", "JavaScript React", 0, 100, 0, 0, 0, 0, 0, 16, 45, 161
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\ComplainA.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\ComplainB.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\ComplainC.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains.jsx", "JavaScript React", 0, 50, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain1A.jsx", "JavaScript React", 0, 43, 0, 0, 0, 0, 0, 0, 9, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain1B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain1C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain1D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2A.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3A.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4A.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain5B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\ComplainG1.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\ComplainG2.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Dash.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 0, 2, 2, 19
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Dashboard.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
